slurm-3484202.out:Memory: vMem 393008 KB, pMem 207720 KB
slurm-3484203.out:Memory: vMem 393008 KB, pMem 207636 KB
slurm-3484204.out:Memory: vMem 661184 KB, pMem 271024 KB
slurm-3484205.out:Memory: vMem 661184 KB, pMem 270892 KB
slurm-3484206.out:Memory: vMem 661184 KB, pMem 270808 KB
slurm-3484207.out:Memory: vMem 1212844 KB, pMem 397984 KB
slurm-3484208.out:Memory: vMem 1212844 KB, pMem 398008 KB
slurm-3484209.out:Memory: vMem 1212844 KB, pMem 396308 KB
slurm-3484210.out:Memory: vMem 2328656 KB, pMem 646164 KB
slurm-3484211.out:Memory: vMem 2328656 KB, pMem 646712 KB
slurm-3484212.out:Memory: vMem 2328656 KB, pMem 646520 KB
slurm-3484213.out:Memory: vMem 1579388 KB, pMem 846632 KB
slurm-3484214.out:Memory: vMem 1579388 KB, pMem 944164 KB
slurm-3484215.out:Memory: vMem 1579388 KB, pMem 842496 KB
slurm-3484216.out:Memory: vMem 1629244 KB, pMem 1028044 KB
slurm-3484217.out:Memory: vMem 1629244 KB, pMem 1021556 KB
slurm-3484218.out:Memory: vMem 1629244 KB, pMem 1030688 KB
slurm-3484219.out:Memory: vMem 1854864 KB, pMem 998976 KB
slurm-3484220.out:Memory: vMem 1854864 KB, pMem 1044844 KB
slurm-3484221.out:Memory: vMem 1854864 KB, pMem 997028 KB
slurm-3484222.out:Memory: vMem 1911336 KB, pMem 984448 KB
slurm-3484223.out:Memory: vMem 1911336 KB, pMem 1051980 KB
slurm-3484224.out:Memory: vMem 1911336 KB, pMem 889024 KB
slurm-3484267.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484268.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484269.out:Memory: vMem 241304 KB, pMem 155228 KB
slurm-3484270.out:Memory: vMem 273548 KB, pMem 174116 KB
slurm-3484271.out:Memory: vMem 273548 KB, pMem 174104 KB
slurm-3484272.out:Memory: vMem 273548 KB, pMem 174112 KB
slurm-3484273.out:Memory: vMem 393008 KB, pMem 207916 KB
slurm-3484274.out:Memory: vMem 393008 KB, pMem 207792 KB
slurm-3484275.out:Memory: vMem 393008 KB, pMem 207760 KB
slurm-3484276.out:Memory: vMem 661184 KB, pMem 271092 KB
slurm-3484277.out:Memory: vMem 661184 KB, pMem 271268 KB
slurm-3484278.out:Memory: vMem 661184 KB, pMem 270768 KB
slurm-3484279.out:Memory: vMem 1212844 KB, pMem 398028 KB
slurm-3484280.out:Memory: vMem 1212844 KB, pMem 395952 KB
slurm-3484281.out:Memory: vMem 1212844 KB, pMem 398020 KB
slurm-3484282.out:Memory: vMem 2328656 KB, pMem 650572 KB
slurm-3484283.out:Memory: vMem 2328656 KB, pMem 650844 KB
slurm-3484284.out:Memory: vMem 2328656 KB, pMem 650664 KB
slurm-3484285.out:Memory: vMem 1579388 KB, pMem 1048264 KB
slurm-3484286.out:Memory: vMem 1579388 KB, pMem 931024 KB
slurm-3484287.out:Memory: vMem 1579388 KB, pMem 937440 KB
slurm-3484288.out:Memory: vMem 1629244 KB, pMem 1030736 KB
slurm-3484289.out:Memory: vMem 1629244 KB, pMem 1025904 KB
slurm-3484290.out:Memory: vMem 1629244 KB, pMem 1030748 KB
slurm-3484291.out:Memory: vMem 1854864 KB, pMem 865776 KB
slurm-3484292.out:Memory: vMem 1854864 KB, pMem 1000720 KB
slurm-3484293.out:Memory: vMem 1854864 KB, pMem 928748 KB
slurm-3484294.out:Memory: vMem 1911336 KB, pMem 1030216 KB
slurm-3484295.out:Memory: vMem 1911336 KB, pMem 1032880 KB
slurm-3484296.out:Memory: vMem 1911336 KB, pMem 1038152 KB
