slurm-3482631.out:Memory: vMem 365892 KB, pMem 98320 KB
slurm-3482632.out:Memory: vMem 365828 KB, pMem 98184 KB
slurm-3482633.out:Memory: vMem 360568 KB, pMem 93016 KB
slurm-3482634.out:Memory: vMem 358524 KB, pMem 90904 KB
slurm-3482635.out:Memory: vMem 360592 KB, pMem 92996 KB
slurm-3482639.out:Memory: vMem 1771288 KB, pMem 1316548 KB
slurm-3482640.out:Memory: vMem 1771092 KB, pMem 1310136 KB
slurm-3482641.out:Memory: vMem 1769044 KB, pMem 1433720 KB
slurm-3482642.out:Memory: vMem 1424016 KB, pMem 963168 KB
slurm-3482643.out:Memory: vMem 1424020 KB, pMem 963164 KB
slurm-3482644.out:Memory: vMem 1424016 KB, pMem 963184 KB
slurm-3482645.out:Memory: vMem 1248488 KB, pMem 787624 KB
slurm-3482646.out:Memory: vMem 1248088 KB, pMem 787244 KB
slurm-3482647.out:Memory: vMem 1248356 KB, pMem 787488 KB
slurm-3482648.out:Memory: vMem 1157296 KB, pMem 696540 KB
slurm-3482649.out:Memory: vMem 1157612 KB, pMem 696912 KB
slurm-3482650.out:Memory: vMem 1155572 KB, pMem 694796 KB
slurm-3482651.out:Memory: vMem 1110672 KB, pMem 648308 KB
slurm-3482652.out:Memory: vMem 1110668 KB, pMem 631632 KB
slurm-3482653.out:Memory: vMem 1110672 KB, pMem 648848 KB
slurm-3482657.out:Memory: vMem 7660848 KB, pMem 6340756 KB
slurm-3482658.out:Memory: vMem 7659060 KB, pMem 6464084 KB
slurm-3482659.out:Memory: vMem 7661648 KB, pMem 6392112 KB
slurm-3482660.out:Memory: vMem 5942940 KB, pMem 4345720 KB
slurm-3482661.out:Memory: vMem 5943008 KB, pMem 4214880 KB
slurm-3482662.out:Memory: vMem 5942804 KB, pMem 4074180 KB
slurm-3482693.out:Memory: vMem 393644 KB, pMem 125816 KB
slurm-3482694.out:Memory: vMem 1421596 KB, pMem 960568 KB
slurm-3482695.out:Memory: vMem 5939984 KB, pMem 4619760 KB
slurm-3482697.out:Memory: vMem 11578964 KB, pMem 8353716 KB
slurm-3482698.out:Memory: vMem 375732 KB, pMem 107912 KB
slurm-3482699.out:Memory: vMem 1247976 KB, pMem 786920 KB
slurm-3482700.out:Memory: vMem 5077424 KB, pMem 3757172 KB
slurm-3482701.out:Memory: vMem 9859860 KB, pMem 7465132 KB
slurm-3482715.out:Memory: vMem 389008 KB, pMem 121260 KB
slurm-3482716.out:Memory: vMem 1416688 KB, pMem 955752 KB
slurm-3482717.out:Memory: vMem 5935340 KB, pMem 4615252 KB
slurm-3482718.out:Memory: vMem 11572020 KB, pMem 8344128 KB
