slurm-3482321.out:DATA,1,1,1,68367.877,,-1,10000
slurm-3482322.out:DATA,1,1,1,67210.245,,-1,10000
slurm-3482323.out:DATA,1,1,1,68266.929,,-1,10000
slurm-3482340.out:DATA,1,1,1,469202.971,,-1,100000
slurm-3482341.out:DATA,1,1,1,463310.425,,-1,100000
slurm-3482342.out:DATA,1,1,1,470531.112,,-1,100000
slurm-3482359.out:DATA,1,1,1,2277307.173,,-1,500000
slurm-3482360.out:DATA,1,1,1,2493970.245,,-1,500000
slurm-3482361.out:DATA,1,1,1,2929687.647,,-1,500000
slurm-3482395.out:DATA,1,1,2,68366.538,,-1,10000
slurm-3482396.out:DATA,1,1,2,68399.015,,-1,10000
slurm-3482397.out:DATA,1,1,2,67185.493,,-1,10000
slurm-3482398.out:DATA,1,1,2,45780.637,,-2,10000
slurm-3482399.out:DATA,1,1,2,45762.135,,-2,10000
slurm-3482400.out:DATA,1,1,2,46016.02,,-2,10000
slurm-3482413.out:DATA,1,1,2,450193.218,,-1,100000
slurm-3482414.out:DATA,1,1,2,468008.911,,-1,100000
slurm-3482415.out:DATA,1,1,2,439052.877,,-1,100000
slurm-3482416.out:DATA,1,1,2,255747.435,,-2,100000
slurm-3482417.out:DATA,1,1,2,275543.468,,-2,100000
slurm-3482418.out:DATA,1,1,2,256525.295,,-2,100000
slurm-3482431.out:DATA,1,1,2,2268845.818,,-1,500000
slurm-3482432.out:DATA,1,1,2,2293167.091,,-1,500000
slurm-3482433.out:DATA,1,1,2,2293170.518,,-1,500000
slurm-3482434.out:DATA,1,1,2,1480754.704,,-2,500000
slurm-3482435.out:DATA,1,1,2,1482050.709,,-2,500000
slurm-3482436.out:DATA,1,1,2,1236107.204,,-2,500000
slurm-3482467.out:DATA,1,1,4,68583.693,,-1,10000
slurm-3482468.out:DATA,1,1,4,67557.021,,-1,10000
slurm-3482469.out:DATA,1,1,4,68053.522,,-1,10000
slurm-3482470.out:DATA,1,1,4,45966.35,,-2,10000
slurm-3482471.out:DATA,1,1,4,48100.017,,-2,10000
slurm-3482472.out:DATA,1,1,4,48108.505,,-2,10000
slurm-3482473.out:DATA,1,1,4,58885.848,,-4,10000
slurm-3482474.out:DATA,1,1,4,58921.963,,-4,10000
